glossary_name,category_name,term_name,description
acme_corp_glossary,revenue_and_billing,Annual Recurring Revenue (ARR),The annualised value of all active subscription contracts. The primary top-line SaaS metric at Acme. Calculated as MRR × 12. Excludes one-time order revenue.
acme_corp_glossary,revenue_and_billing,Monthly Recurring Revenue (MRR),The monthly normalised value of an active subscription. Source of truth is subscriptions.mrr_usd. Summed across active subscriptions to derive total company MRR.
acme_corp_glossary,revenue_and_billing,Subscription,"A recurring-revenue contract between Acme and a customer for a specific product and plan. The subscriptions table is the source of truth for all MRR/ARR figures. A subscription has a billing cycle (monthly or annual), a seat count, and a status (active, cancelled, past_due, trialing)."
acme_corp_glossary,revenue_and_billing,Churn,"A subscription that has been cancelled, resulting in a reduction of ARR. Identified by subscriptions.status = 'cancelled' and a non-null subscriptions.cancelled_date."
acme_corp_glossary,revenue_and_billing,Renewal Date,The date on which a subscription is next due for renewal. Used by CSMs to prioritise at-risk accounts and by finance for ARR forecasting.
acme_corp_glossary,revenue_and_billing,Billing Cycle,The cadence at which a subscription is billed — either monthly or annual. Annual billing typically carries a discount and improves cash collection.
acme_corp_glossary,revenue_and_billing,Order,"A one-time, non-recurring purchase — typically professional services, training, or a perpetual license. Distinct from a subscription. Revenue is recognised at delivery rather than ratably."
acme_corp_glossary,revenue_and_billing,Order Revenue,"The total USD value of delivered or completed one-time orders in a period. Derived from orders.total_usd where status not in ('cancelled', 'returned')."
acme_corp_glossary,revenue_and_billing,Invoice,"A formal billing document issued to a customer against an order or subscription. Tracks amount due, due date, and payment status. An invoice can be linked to a subscription, an order, or both."
acme_corp_glossary,revenue_and_billing,Outstanding Invoice,An invoice that has been sent to the customer but not yet paid. Identified by invoices.status = 'sent' or 'overdue'. Key indicator of cash collection risk.
acme_corp_glossary,revenue_and_billing,Payment,"A cash receipt applied against an invoice. Tracks payment method, amount, and processing status."
acme_corp_glossary,revenue_and_billing,Seats,The number of user licences purchased under a subscription. Used for seat-based pricing and expansion tracking.
acme_corp_glossary,revenue_and_billing,Plan,"The named tier or package of a subscription (e.g. Enterprise Tier 3, Cloud Growth). Determines feature entitlements and pricing."
acme_corp_glossary,sales_and_pipeline,Opportunity,"A qualified sales deal being pursued with a customer or prospect. The core pipeline and forecast record. Each opportunity has a stage, expected value, probability, and expected close date."
acme_corp_glossary,sales_and_pipeline,Pipeline Stage,The current position of a deal in the sales process: discovery → proposal → negotiation → closed_won / closed_lost.
acme_corp_glossary,sales_and_pipeline,Deal Amount,"The expected total contract value of an opportunity in USD, as assessed by the account executive."
acme_corp_glossary,sales_and_pipeline,Win Probability,The estimated likelihood (0.0–1.0) that an open opportunity will close as won. Multiplied by deal amount to produce weighted pipeline.
acme_corp_glossary,sales_and_pipeline,Weighted Pipeline,A risk-adjusted view of open pipeline calculated as opportunity amount × win probability. Used for revenue forecasting.
acme_corp_glossary,sales_and_pipeline,Closed Won,An opportunity that has been successfully closed as a new booking. Identified by opportunities.stage = 'closed_won'.
acme_corp_glossary,sales_and_pipeline,Bookings,"The total value of new contracts signed in a period. Derived from closed_won opportunities. Distinct from revenue, which is recognised over the subscription term."
